feature_id	feature_symbol	feature_type	omics_type	method	analysis_type	comparison	effect	effect_type	statistic	statistic_type	p_value	adj_p_value	direction	base_mean	model_fit	is_significant
PROT_CDC6	CDC6	feature	proteomics	limma	group	G2_vs_G1	1.87307423887966	log2FC	5.3871856818624	t	1.49929966567509e-06	2.66542162786683e-05	up	23.7819983128909	NA	NA
PROT_CDC7	CDC7	feature	proteomics	limma	group	G2_vs_G1	1.92110837108589	log2FC	5.26882358822203	t	2.30667328400533e-06	3.29888872064956e-05	up	18.6676081991799	NA	NA
PROT_CDK1	CDK1	feature	proteomics	limma	group	G2_vs_G1	1.62734390482037	log2FC	4.54939896527101	t	2.96485856220199e-05	0.000215626077251054	up	21.2983524864081	NA	NA
PROT_CDK4	CDK4	feature	proteomics	limma	group	G2_vs_G1	1.79162004471251	log2FC	5.65600187276049	t	5.58702697470581e-07	1.65628296441497e-05	up	21.2336109261534	NA	NA
PROT_CDKN1B	CDKN1B	feature	proteomics	limma	group	G2_vs_G1	1.02574679923129	log2FC	2.79989565369491	t	0.0070169932881	0.0287876647716923	up	21.769777347888	NA	NA
PROT_CDKN3	CDKN3	feature	proteomics	limma	group	G2_vs_G1	1.34707878334206	log2FC	3.7282619860491	t	0.000453648043082135	0.00226824021541068	up	24.7981507279028	NA	NA
PROT_CENPA	CENPA	feature	proteomics	limma	group	G2_vs_G1	1.81873611104266	log2FC	4.77871513882166	t	1.33180422614463e-05	0.000118382597879523	up	23.1613654093111	NA	NA
PROT_CENPE	CENPE	feature	proteomics	limma	group	G2_vs_G1	1.38248145731362	log2FC	4.04081466813564	t	0.000165245493272764	0.00088130929745474	up	20.5266270913504	NA	NA
PROT_CENPF	CENPF	feature	proteomics	limma	group	G2_vs_G1	1.31618249405545	log2FC	3.69921039315146	t	0.000497297212472121	0.0023402221763394	up	21.6214760816661	NA	NA
PROT_CHAF1A	CHAF1A	feature	proteomics	limma	group	G2_vs_G1	1.28047369369284	log2FC	3.71730189118114	t	0.000469665694577609	0.00227716700401265	up	22.1126413914681	NA	NA
PROT_CHEK1	CHEK1	feature	proteomics	limma	group	G2_vs_G1	1.79611899098354	log2FC	5.27570750059853	t	2.24975411190893e-06	3.29888872064956e-05	up	19.3359733873286	NA	NA
PROT_CHMP1A	CHMP1A	feature	proteomics	limma	group	G2_vs_G1	1.446302707009	log2FC	4.36856945257706	t	5.51395971382451e-05	0.000352893421684769	up	21.6186441010352	NA	NA
PROT_CKS1B	CKS1B	feature	proteomics	limma	group	G2_vs_G1	1.23659533981452	log2FC	3.63127296308412	t	0.000615610516094034	0.00281421950214415	up	21.955600373176	NA	NA
PROT_CKS2	CKS2	feature	proteomics	limma	group	G2_vs_G1	1.4351269494716	log2FC	3.91501633451369	t	0.000249261278112005	0.00128650982251357	up	21.2095920451955	NA	NA
PROT_CTCF	CTCF	feature	proteomics	limma	group	G2_vs_G1	1.56307653796198	log2FC	4.8614921759184	t	9.94277270699915e-06	9.35790372423449e-05	up	20.8721447471239	NA	NA
PROT_ADAR	ADAR	feature	proteomics	limma	group	G2_vs_G1	0.144434635067675	log2FC	0.433518886352164	t	0.666315943383522	0.87385697492921	up	21.3797666848804	NA	NA
PROT_APOL6	APOL6	feature	proteomics	limma	group	G2_vs_G1	-0.218813660363175	log2FC	-0.669541894059813	t	0.505922066442853	0.823243062003962	down	19.0780373735572	NA	NA
PROT_ARID5B	ARID5B	feature	proteomics	limma	group	G2_vs_G1	-0.26566719342604	log2FC	-0.727024984884256	t	0.470262085809291	0.800446103505177	down	19.2862620718809	NA	NA
PROT_AUTS2	AUTS2	feature	proteomics	limma	group	G2_vs_G1	-0.318185505005527	log2FC	-0.890449093839877	t	0.377063379695929	0.722090585614696	down	21.2747176459177	NA	NA
PROT_B2M	B2M	feature	proteomics	limma	group	G2_vs_G1	-0.158353777606145	log2FC	-0.449416570236052	t	0.654878999426424	0.873171999235232	down	20.0052883349706	NA	NA
PROT_BANK1	BANK1	feature	proteomics	limma	group	G2_vs_G1	-0.495785992044144	log2FC	-1.45438063261852	t	0.151465423083685	0.432758351667671	down	21.2987734969532	NA	NA
PROT_BATF2	BATF2	feature	proteomics	limma	group	G2_vs_G1	-0.0353291534665985	log2FC	-0.101831628176515	t	0.91925683564137	0.961314337925616	down	21.6885454524237	NA	NA
PROT_BPGM	BPGM	feature	proteomics	limma	group	G2_vs_G1	0.564018637503885	log2FC	1.66488349566548	t	0.101564361604539	0.331638731769922	up	25.6580985261307	NA	NA
PROT_BST2	BST2	feature	proteomics	limma	group	G2_vs_G1	0.670156303044607	log2FC	1.82757142587686	t	0.0729842019252204	0.259499384623006	up	21.2830764218642	NA	NA
PROT_BTG1	BTG1	feature	proteomics	limma	group	G2_vs_G1	-0.195229993753511	log2FC	-0.578474771855471	t	0.565280560724574	0.837452682554925	down	21.2406638533496	NA	NA
PROT_C1R	C1R	feature	proteomics	limma	group	G2_vs_G1	-0.365479068549547	log2FC	-1.14853396124342	t	0.255667595154283	0.581500848114403	down	17.7839078228723	NA	NA
PROT_C1S	C1S	feature	proteomics	limma	group	G2_vs_G1	-0.118423392953723	log2FC	-0.32159139168953	t	0.748968676166298	0.889080818906474	down	17.4681827347909	NA	NA
PROT_CASP1	CASP1	feature	proteomics	limma	group	G2_vs_G1	-0.271797661491782	log2FC	-0.762150246869928	t	0.449192840129011	0.789789609018042	down	21.2095209418645	NA	NA
PROT_CASP3	CASP3	feature	proteomics	limma	group	G2_vs_G1	0.345766610569829	log2FC	1.07293268458899	t	0.287938084561812	0.614267913731865	up	17.2641583684605	NA	NA
PROT_CASP4	CASP4	feature	proteomics	limma	group	G2_vs_G1	-0.238662976455878	log2FC	-0.664085126642914	t	0.509381644614952	0.823243062003962	down	17.1883171615432	NA	NA
PROT_CASP8	CASP8	feature	proteomics	limma	group	G2_vs_G1	-0.0674964273048388	log2FC	-0.199243074574467	t	0.842799766072378	0.921680340026515	down	19.5810674719773	NA	NA
PROT_CCL2	CCL2	feature	proteomics	limma	group	G2_vs_G1	0.468487438001471	log2FC	1.33420999995946	t	0.187576371942626	0.484068056626133	up	18.421752746696	NA	NA
PROT_CCL5	CCL5	feature	proteomics	limma	group	G2_vs_G1	0.767126338723244	log2FC	2.25138320146271	t	0.0283341633296491	0.113336653318596	up	16.45720978088	NA	NA
PROT_CCL7	CCL7	feature	proteomics	limma	group	G2_vs_G1	-0.354797304046574	log2FC	-1.06160951297882	t	0.293004546469387	0.616851676777657	down	19.1371800388425	NA	NA
PROT_CD274	CD274	feature	proteomics	limma	group	G2_vs_G1	0.487137082938187	log2FC	1.46556882131399	t	0.148400802367826	0.431711425070038	up	22.3838559573944	NA	NA
PROT_CD38	CD38	feature	proteomics	limma	group	G2_vs_G1	-0.647096785565104	log2FC	-1.9246441403606	t	0.0593988248456898	0.22628123750739	down	21.0422973276875	NA	NA
PROT_CD40	CD40	feature	proteomics	limma	group	G2_vs_G1	0.118814646614496	log2FC	0.348298557820888	t	0.728931886305658	0.889080818906474	up	18.8714807420688	NA	NA
PROT_CD69	CD69	feature	proteomics	limma	group	G2_vs_G1	0.0632056150907516	log2FC	0.175504737643094	t	0.861320932770148	0.931157765156917	up	17.7047007661568	NA	NA
PROT_CD74	CD74	feature	proteomics	limma	group	G2_vs_G1	-0.165506568875511	log2FC	-0.467832146389226	t	0.641734046226632	0.873171999235232	down	17.1254236710408	NA	NA
PROT_CD86	CD86	feature	proteomics	limma	group	G2_vs_G1	-0.27338623858617	log2FC	-0.82379737777421	t	0.413575999397478	0.751027548784839	down	19.0174604128671	NA	NA
PROT_CDKN1A	CDKN1A	feature	proteomics	limma	group	G2_vs_G1	-0.10709289904467	log2FC	-0.311496934774283	t	0.756588380399145	0.889080818906474	down	20.0961743813823	NA	NA
PROT_CFB	CFB	feature	proteomics	limma	group	G2_vs_G1	-0.211224098253972	log2FC	-0.612115657426975	t	0.542957527289702	0.827959530761328	down	19.5366045179288	NA	NA
PROT_CFH	CFH	feature	proteomics	limma	group	G2_vs_G1	0.0942189168380025	log2FC	0.279782518489483	t	0.780683045970189	0.898177838688345	up	21.7719918491239	NA	NA
PROT_CIITA	CIITA	feature	proteomics	limma	group	G2_vs_G1	0.000522370843981435	log2FC	0.00152217233928668	t	0.998790933354388	0.998790933354388	up	23.5400259560679	NA	NA
PROT_CMKLR1	CMKLR1	feature	proteomics	limma	group	G2_vs_G1	0.457899896978329	log2FC	1.30998966391746	t	0.195588264887646	0.496732101301959	up	19.6068176954813	NA	NA
PROT_CMPK2	CMPK2	feature	proteomics	limma	group	G2_vs_G1	0.316179771873912	log2FC	0.999179206210455	t	0.322038510859964	0.63859117015471	up	19.799168737521	NA	NA
PROT_CMTR1	CMTR1	feature	proteomics	limma	group	G2_vs_G1	-0.168767822107409	log2FC	-0.50916218445834	t	0.612654225045855	0.873171999235232	down	18.704831680998	NA	NA
PROT_CSF2RB	CSF2RB	feature	proteomics	limma	group	G2_vs_G1	-0.327700422522181	log2FC	-1.00080953938478	t	0.321256565895544	0.63859117015471	down	16.4450243090567	NA	NA
PROT_CXCL10	CXCL10	feature	proteomics	limma	group	G2_vs_G1	-0.202050623900739	log2FC	-0.616143235102051	t	0.540315482487021	0.827959530761328	down	23.2977828036333	NA	NA
PROT_CXCL11	CXCL11	feature	proteomics	limma	group	G2_vs_G1	0.0747359585058511	log2FC	0.22203794312728	t	0.825098251905539	0.921680340026515	up	22.5536614519696	NA	NA
PROT_CXCL9	CXCL9	feature	proteomics	limma	group	G2_vs_G1	0.216057146151844	log2FC	0.66590457637706	t	0.508226705196047	0.823243062003962	up	20.4431947914106	NA	NA
PROT_DDX60	DDX60	feature	proteomics	limma	group	G2_vs_G1	-0.0919448316377753	log2FC	-0.27294702503294	t	0.785905608852302	0.898177838688345	down	19.9906128980396	NA	NA
PROT_DHX58	DHX58	feature	proteomics	limma	group	G2_vs_G1	0.368943362674802	log2FC	1.12165387760733	t	0.266832571444823	0.592961269877383	up	15.9696805145199	NA	NA
PROT_EIF2AK2	EIF2AK2	feature	proteomics	limma	group	G2_vs_G1	0.167614416604376	log2FC	0.467475794147523	t	0.641987335209776	0.873171999235232	up	23.1018810763456	NA	NA
PROT_FAS	FAS	feature	proteomics	limma	group	G2_vs_G1	0.0718578857937437	log2FC	0.214679343648011	t	0.830803116476729	0.921680340026515	up	18.3529792194611	NA	NA
PROT_ABCB7	ABCB7	feature	proteomics	limma	group	G2_vs_G1	0.111295897113703	log2FC	0.307650748849578	t	0.759498091680908	0.889080818906474	up	14.6531990446452	NA	NA
PROT_ACAA1	ACAA1	feature	proteomics	limma	group	G2_vs_G1	-0.513374451860511	log2FC	-1.47886421182779	t	0.144822476633426	0.42910363446941	down	21.1733394952812	NA	NA
PROT_ACADSB	ACADSB	feature	proteomics	limma	group	G2_vs_G1	-0.346943569954401	log2FC	-0.988322859287219	t	0.327277974704289	0.63859117015471	down	20.6877238456429	NA	NA
PROT_ACADVL	ACADVL	feature	proteomics	limma	group	G2_vs_G1	0.173467323737217	log2FC	0.495886750234737	t	0.621929703760299	0.873171999235232	up	19.6849497341515	NA	NA
PROT_ACAT1	ACAT1	feature	proteomics	limma	group	G2_vs_G1	0.206259189515947	log2FC	0.647614168733723	t	0.519900893096147	0.827959530761328	up	20.7190935569686	NA	NA
PROT_AFG3L2	AFG3L2	feature	proteomics	limma	group	G2_vs_G1	-0.348006502629826	log2FC	-1.01384107820575	t	0.315052153539315	0.63859117015471	down	21.4121760766623	NA	NA
PROT_ALAS1	ALAS1	feature	proteomics	limma	group	G2_vs_G1	0.490119408195877	log2FC	1.36287248375875	t	0.17841947084743	0.467985497304735	up	17.9138603203384	NA	NA
PROT_ALDH6A1	ALDH6A1	feature	proteomics	limma	group	G2_vs_G1	-0.0130634025187888	log2FC	-0.0342548276880024	t	0.972796679459025	0.985110561477493	down	24.1681723241037	NA	NA
PROT_ATP1B1	ATP1B1	feature	proteomics	limma	group	G2_vs_G1	-0.167854839028507	log2FC	-0.466856336291302	t	0.642427736918964	0.873171999235232	down	17.8660332744029	NA	NA
PROT_ATP5F1A	ATP5F1A	feature	proteomics	limma	group	G2_vs_G1	-0.278375748025773	log2FC	-0.816396400840147	t	0.417759074011567	0.751027548784839	down	23.2519471468779	NA	NA
PROT_ATP5F1B	ATP5F1B	feature	proteomics	limma	group	G2_vs_G1	0.302666882067118	log2FC	0.885268456151854	t	0.379826108665086	0.722090585614696	up	20.6138252798641	NA	NA
PROT_ATP5F1C	ATP5F1C	feature	proteomics	limma	group	G2_vs_G1	0.208207662828119	log2FC	0.593627641319154	t	0.555169657722775	0.83016023584714	up	18.8018183154146	NA	NA
PROT_ATP5F1D	ATP5F1D	feature	proteomics	limma	group	G2_vs_G1	-0.405963172279105	log2FC	-1.14293043288846	t	0.257967149487305	0.581500848114403	down	20.9079793686864	NA	NA
PROT_ATP5F1E	ATP5F1E	feature	proteomics	limma	group	G2_vs_G1	0.0930353724059003	log2FC	0.280902271300713	t	0.77982847542136	0.898177838688345	up	18.554974132715	NA	NA
PROT_ATP5MC1	ATP5MC1	feature	proteomics	limma	group	G2_vs_G1	0.050927087069887	log2FC	0.137313662246138	t	0.891279128929693	0.950254938757907	up	17.851533259969	NA	NA
PROT_ATP5MC2	ATP5MC2	feature	proteomics	limma	group	G2_vs_G1	-0.191651976624829	log2FC	-0.550046112669748	t	0.584491670623029	0.857969424767749	down	20.4404677003014	NA	NA
PROT_ATP5MC3	ATP5MC3	feature	proteomics	limma	group	G2_vs_G1	-0.333906229661668	log2FC	-0.999651050680526	t	0.321812072406299	0.63859117015471	down	18.4582663759084	NA	NA
PROT_ATP5ME	ATP5ME	feature	proteomics	limma	group	G2_vs_G1	-0.643005958918149	log2FC	-1.87719299797308	t	0.0657440859796055	0.239069403562202	down	18.5718014252784	NA	NA
PROT_ATP5MF	ATP5MF	feature	proteomics	limma	group	G2_vs_G1	-0.0127835783323569	log2FC	-0.0366709985485528	t	0.97087873458004	0.985110561477493	down	18.0151096082512	NA	NA
PROT_ATP5MG	ATP5MG	feature	proteomics	limma	group	G2_vs_G1	-0.13024136148109	log2FC	-0.381776621601068	t	0.704082914450077	0.889080818906474	down	17.1490192863038	NA	NA
PROT_ATP5PB	ATP5PB	feature	proteomics	limma	group	G2_vs_G1	0.0850850278236344	log2FC	0.261118559305761	t	0.794966274515039	0.902089389520612	up	22.8513349743347	NA	NA
PROT_ATP5PD	ATP5PD	feature	proteomics	limma	group	G2_vs_G1	0.143942685630375	log2FC	0.415451752015195	t	0.679410901895186	0.876659228251853	up	21.2850639053206	NA	NA
PROT_ATP5PF	ATP5PF	feature	proteomics	limma	group	G2_vs_G1	-0.303883837750107	log2FC	-0.86543345963839	t	0.390521426523667	0.722090585614696	down	21.5168300655782	NA	NA
PROT_ATP6AP1	ATP6AP1	feature	proteomics	limma	group	G2_vs_G1	-0.534943962203435	log2FC	-1.59047092961106	t	0.117401572310435	0.36123560710903	down	22.4267356907343	NA	NA
PROT_ATP6V0B	ATP6V0B	feature	proteomics	limma	group	G2_vs_G1	0.540359368180056	log2FC	1.706006322633	t	0.093590082398735	0.325530721386904	up	18.967773214481	NA	NA
PROT_ATP6V0C	ATP6V0C	feature	proteomics	limma	group	G2_vs_G1	0.166240973671407	log2FC	0.492734816361156	t	0.624141111400598	0.873171999235232	up	19.2646430484421	NA	NA
PROT_ATP6V0E1	ATP6V0E1	feature	proteomics	limma	group	G2_vs_G1	-0.478154194125022	log2FC	-1.38065843245547	t	0.172911536540838	0.467985497304735	down	15.3443581997561	NA	NA
PROT_ATP6V1C1	ATP6V1C1	feature	proteomics	limma	group	G2_vs_G1	0.100371856432023	log2FC	0.305303633038347	t	0.761275451188668	0.889080818906474	up	20.2502554289345	NA	NA
PROT_ATP6V1D	ATP6V1D	feature	proteomics	limma	group	G2_vs_G1	-0.0456077961414287	log2FC	-0.142181591719892	t	0.887450756902621	0.950254938757907	down	19.6795458453476	NA	NA
PROT_ATP6V1E1	ATP6V1E1	feature	proteomics	limma	group	G2_vs_G1	0.246741949567838	log2FC	0.728480647074733	t	0.46937793623759	0.800446103505177	up	22.1809495210132	NA	NA
PROT_ATP6V1F	ATP6V1F	feature	proteomics	limma	group	G2_vs_G1	0.157873550208251	log2FC	0.456766652803174	t	0.649619057710233	0.873171999235232	up	23.0700818257487	NA	NA
PROT_ATP6V1G1	ATP6V1G1	feature	proteomics	limma	group	G2_vs_G1	-0.026791055218915	log2FC	-0.0774072745946058	t	0.938577562776065	0.97514551976734	down	20.1487994352859	NA	NA
PROT_ATP6V1H	ATP6V1H	feature	proteomics	limma	group	G2_vs_G1	0.229080040895948	log2FC	0.675807640910387	t	0.501965314346903	0.823243062003962	up	21.1274632426991	NA	NA
PROT_BAX	BAX	feature	proteomics	limma	group	G2_vs_G1	-0.50020474280074	log2FC	-1.55903696230921	t	0.124664440520319	0.376345480816059	down	17.8397524182553	NA	NA
PROT_BDH2	BDH2	feature	proteomics	limma	group	G2_vs_G1	-0.312328454604394	log2FC	-0.877510240728258	t	0.383987243932294	0.722090585614696	down	19.0119821770325	NA	NA
PROT_COX10	COX10	feature	proteomics	limma	group	G2_vs_G1	-0.1279220137057	log2FC	-0.352107858150056	t	0.726089056771562	0.889080818906474	down	22.0143658200306	NA	NA
PROT_COX11	COX11	feature	proteomics	limma	group	G2_vs_G1	0.0657710701673544	log2FC	0.194114756418435	t	0.84679381239936	0.921680340026515	up	19.9209500433388	NA	NA
PROT_COX15	COX15	feature	proteomics	limma	group	G2_vs_G1	0.15956929195448	log2FC	0.440415762960728	t	0.661344271509451	0.87385697492921	up	18.3573575150733	NA	NA
PROT_ACADM	ACADM	feature	proteomics	limma	group	G2_vs_G1	-0.389909802336735	log2FC	-1.19381093323071	t	0.237622792860465	0.559112453789329	down	22.3575466363983	NA	NA
PROT_ACO2	ACO2	feature	proteomics	limma	group	G2_vs_G1	0.166602493280056	log2FC	0.484265836476635	t	0.630100186336188	0.873171999235232	up	19.7410927990964	NA	NA
PROT_ABCA1	ABCA1	feature	proteomics	limma	group	G2_vs_G1	-0.155115266498299	log2FC	-0.456590399080029	t	0.649744981883222	0.873171999235232	down	20.4372508911449	NA	NA
PROT_ABCB8	ABCB8	feature	proteomics	limma	group	G2_vs_G1	-0.124809000043467	log2FC	-0.364071137790422	t	0.717186354904588	0.889080818906474	down	18.6697490481959	NA	NA
PROT_ACADL	ACADL	feature	proteomics	limma	group	G2_vs_G1	-0.332401589729638	log2FC	-0.996223075377181	t	0.323459590138459	0.63859117015471	down	17.581060357666	NA	NA
PROT_ACADS	ACADS	feature	proteomics	limma	group	G2_vs_G1	-0.158817223875626	log2FC	-0.459186140441778	t	0.647891499455115	0.873171999235232	down	22.760916033116	NA	NA
PROT_ACLY	ACLY	feature	proteomics	limma	group	G2_vs_G1	-0.423537696294176	log2FC	-1.07675683908191	t	0.286240787024903	0.614267913731865	down	19.4007401088168	NA	NA
PROT_ACOX1	ACOX1	feature	proteomics	limma	group	G2_vs_G1	-0.0695481446524475	log2FC	-0.202645523658238	t	0.840152147691909	0.921680340026515	down	20.3193542203366	NA	NA
PROT_ADCY6	ADCY6	feature	proteomics	limma	group	G2_vs_G1	-0.020330907371612	log2FC	-0.058982223664152	t	0.953177839402004	0.983925511640778	down	23.2601267955599	NA	NA
PROT_ADIG	ADIG	feature	proteomics	limma	group	G2_vs_G1	0.123223470388545	log2FC	0.357705787759515	t	0.721918430594391	0.889080818906474	up	19.2557816641137	NA	NA
PROT_ADIPOQ	ADIPOQ	feature	proteomics	limma	group	G2_vs_G1	0.207715754131634	log2FC	0.637837157722567	t	0.526199037991125	0.827959530761328	up	18.658449865911	NA	NA
PROT_ADIPOR2	ADIPOR2	feature	proteomics	limma	group	G2_vs_G1	-0.412559192475513	log2FC	-1.29430084278788	t	0.20091385959021	0.501144221511967	down	16.0358720310228	NA	NA
PROT_AGPAT3	AGPAT3	feature	proteomics	limma	group	G2_vs_G1	0.30385561492507	log2FC	0.861550901661902	t	0.392636755927991	0.722090585614696	up	20.2582821336271	NA	NA
PROT_AK2	AK2	feature	proteomics	limma	group	G2_vs_G1	-0.105431034019652	log2FC	-0.32167701184285	t	0.748904152938778	0.889080818906474	down	19.021913937598	NA	NA
PROT_ALDH2	ALDH2	feature	proteomics	limma	group	G2_vs_G1	0.116903445555906	log2FC	0.360269738584704	t	0.720011032343444	0.889080818906474	up	19.4483608102188	NA	NA
PROT_ALDOA	ALDOA	feature	proteomics	limma	group	G2_vs_G1	0.495820221291595	log2FC	1.44070725993952	t	0.155277753894103	0.435867379351868	up	17.4740231583534	NA	NA
PROT_ANGPT1	ANGPT1	feature	proteomics	limma	group	G2_vs_G1	0.0418874159926546	log2FC	0.128650633358852	t	0.898098533116666	0.950254938757907	up	19.4849967239947	NA	NA
PROT_ANGPTL4	ANGPTL4	feature	proteomics	limma	group	G2_vs_G1	-0.00787477346296583	log2FC	-0.0232954248153642	t	0.981498061429203	0.987671005211776	down	21.6919334741886	NA	NA
PROT_APLP2	APLP2	feature	proteomics	limma	group	G2_vs_G1	-0.0123558373739705	log2FC	-0.0368616881740545	t	0.970727373282899	0.985110561477493	down	20.2446489221612	NA	NA
PROT_APOE	APOE	feature	proteomics	limma	group	G2_vs_G1	-0.450232446513617	log2FC	-1.3651805376351	t	0.17769723286455	0.467985497304735	down	17.9056353238721	NA	NA
PROT_ARAF	ARAF	feature	proteomics	limma	group	G2_vs_G1	-0.120594045169575	log2FC	-0.355327461402702	t	0.723689326779414	0.889080818906474	down	19.9618071725711	NA	NA
PROT_ATL2	ATL2	feature	proteomics	limma	group	G2_vs_G1	0.428034703544665	log2FC	1.24102320892058	t	0.219810121444423	0.524919693001608	up	21.2317496918677	NA	NA
PROT_ATP1B3	ATP1B3	feature	proteomics	limma	group	G2_vs_G1	0.536749161857198	log2FC	1.37991690385627	t	0.173138533872937	0.467985497304735	up	18.7916531577233	NA	NA
PROT_BAZ2A	BAZ2A	feature	proteomics	limma	group	G2_vs_G1	0.539116752910665	log2FC	1.60776740177324	t	0.113553040286816	0.356244832272365	up	21.1335835569349	NA	NA
PROT_BCL2L13	BCL2L13	feature	proteomics	limma	group	G2_vs_G1	-0.208765863754898	log2FC	-0.60366390253423	t	0.54852318912938	0.827959530761328	down	18.8147277976568	NA	NA
PROT_BCL6	BCL6	feature	proteomics	limma	group	G2_vs_G1	0.206612100999664	log2FC	0.628211547032733	t	0.532438552911072	0.827959530761328	up	20.9637481839335	NA	NA
PROT_C3	C3	feature	proteomics	limma	group	G2_vs_G1	-0.643812704957067	log2FC	-1.8964029151605	t	0.063109268998721	0.234825186971985	down	20.6203253452184	NA	NA
PROT_CAT	CAT	feature	proteomics	limma	group	G2_vs_G1	-0.447445737910829	log2FC	-1.27754184110249	t	0.206721991373686	0.501144221511967	down	18.4619084172675	NA	NA
